"area_fips","area_title"
"M0060","Aguadilla, PR MSA"
"M0080","Akron, Oh PMSA"
"M0120","Albany, Ga MSA"
"M0160","Albany-Schenectady-Troy, NY MSA"
"M0200","Albuquerque, NM MSA"
"M0220","Alexandria, La MSA"
"M0240","Allentown-Bethlehem-Easton, Pa MSA"
"M0280","Altoona, Pa MSA"
"M0320","Amarillo, Tx MSA"
"M0360","Anaheim-Santa Ana, Ca PMSA"
"M0380","Anchorage, Ak MSA"
"M0400","Anderson, In MSA"
"M0405","Anderson, SC MSA"
"M0440","Ann Arbor, Mi PMSA"
"M0450","Anniston, Al MSA"
"M0460","Appleton-Oshkosh-Neenah, Wi MSA"
"M0470","Arecibo, PR PMSA"
"M0480","Asheville, NC MSA"
"M0500","Athens, Ga MSA"
"M0520","Atlanta, Ga MSA"
"M0560","Atlantic-Cape May, NJ PMSA"
"M0580","Auburn-Opelika, Al MSA"
"M0600","Augusta-Aiken, Ga-SC MSA"
"M0620","Aurora-Elgin, Il PMSA"
"M0640","Austin-San Marcos, Tx MSA"
"M0680","Bakersfield, Ca MSA"
"M0720","Baltimore, Md PMSA"
"M0733","Bangor, Me NECMA"
"M0743","Barnstable-Yarmouth, Ma NECMA"
"M0760","Baton Rouge, La MSA"
"M0780","Battle Creek, Mi MSA"
"M0840","Beaumont-Port Arthur, Tx MSA"
"M0845","Beaver County, Pa MSA"
"M0860","Bellingham, Wa MSA"
"M0870","Benton Harbor, Mi MSA"
"M0875","Bergen-Passaic, NJ MSA"
"M0880","Billings, Mt MSA"
"M0920","Biloxi-Gulfport-Pascagoula, Ms MSA"
"M0960","Binghamton, NY MSA"
"M1000","Birmingham, Al MSA"
"M1010","Bismarck, ND MSA"
"M1020","Bloomington, In MSA"
"M1040","Bloomington-Normal, Il MSA"
"M1080","Boise City, Id MSA"
"M1123","Boston-Brockton-Nashua, Ma-NH NECMA"
"M1125","Boulder-Longmont, Co PMSA"
"M1140","Bradenton, Fl MSA"
"M1145","Brazoria, Tx PMSA"
"M1150","Bremerton, Wa PMSA"
"M1163","Bridgeport-Stamford-Norwalk-Danbury, Ct NECMA"
"M1240","Brownsville-Harlingen-San Benito, Tx MSA"
"M1260","Bryan-College Station, Tx MSA"
"M1280","Buffalo-Niagara Falls, NY MSA"
"M1300","Burlington, NC MSA"
"M1303","Burlington, Vt NECMA"
"M1310","Caguas, PR PMSA"
"M1320","Canton-Massillon, Oh MSA"
"M1350","Casper, Wy MSA"
"M1360","Cedar Rapids, Ia MSA"
"M1400","Champaign-Urbana, Il MSA"
"M1440","Charleston-North Charleston, SC MSA"
"M1480","Charleston, WV MSA"
"M1520","Charlotte-Gastonia-Rock Hill, NC-SC MSA"
"M1540","Charlottesville, Va MSA"
"M1560","Chattanooga, Tn-Ga MSA"
"M1580","Cheyenne, Wy MSA"
"M1600","Chicago, Il PMSA"
"M1620","Chico-Paradise, Ca MSA"
"M1640","Cincinnati, Oh-Ky-In PMSA"
"M1660","Clarksville-Hopkinsville, Tn-Ky MSA"
"M1680","Cleveland-Lorain-Elyria, Oh PMSA"
"M1720","Colorado Springs, Co MSA"
"M1740","Columbia, Mo MSA"
"M1760","Columbia, SC MSA"
"M1800","Columbus, Ga-Al MSA"
"M1840","Columbus, Oh MSA"
"M1880","Corpus Christi, Tx MSA"
"M1890","Corvallis, Or MSA"
"M1900","Cumberland, Md-WV MSA"
"M1920","Dallas, Tx PMSA"
"M1950","Danville, Va MSA"
"M1960","Davenport-Moline-Rock Island, Ia-Il MSA"
"M2000","Dayton-Springfield, Oh MSA"
"M2020","Daytona Beach, Fl MSA"
"M2030","Decatur, Al MSA"
"M2040","Decatur, Il MSA"
"M2080","Denver, Co PMSA"
"M2120","Des Moines, Ia MSA"
"M2160","Detroit, Mi PMSA"
"M2180","Dothan, Al MSA"
"M2190","Dover, De MSA"
"M2200","Dubuque, Ia MSA"
"M2240","Duluth-Superior, Mn-Wi MSA"
"M2281","Dutchess County, NY PMSA"
"M2290","Eau Claire, Wi MSA"
"M2320","El Paso, Tx MSA"
"M2330","Elkhart-Goshen, In MSA"
"M2335","Elmira, NY MSA"
"M2340","Enid, Ok MSA"
"M2360","Erie, Pa MSA"
"M2400","Eugene-Springfield, Or MSA"
"M2440","Evansville-Henderson, In-Ky MSA"
"M2520","Fargo-Moorhead, ND-Mn MSA"
"M2560","Fayetteville, NC MSA"
"M2580","Fayetteville-Springdale-Rogers, Ar MSA"
"M2620","Flagstaff, Az-Ut MSA"
"M2640","Flint, Mi PMSA"
"M2650","Florence, Al MSA"
"M2655","Florence, SC MSA"
"M2670","Fort Collins-Loveland, Co MSA"
"M2680","Fort Lauderdale, Fl PMSA"
"M2700","Fort Myers-Cape Coral, Fl MSA"
"M2710","Fort Pierce-Port St. Lucie, Fl MSA"
"M2720","Fort Smith, Ar-Ok MSA"
"M2750","Fort Walton Beach, Fl MSA"
"M2760","Fort Wayne, In MSA"
"M2800","Fort Worth-Arlington, Tx PMSA"
"M2840","Fresno, Ca MSA"
"M2880","Gadsden, Al MSA"
"M2900","Gainesville, Fl MSA"
"M2920","Galveston-Texas City, Tx PMSA"
"M2960","Gary, In PMSA"
"M2975","Glens Falls, NY MSA"
"M2980","Goldsboro, NC MSA"
"M2985","Grand Forks, ND-MN MSA"
"M2995","Grand Junction, Co MSA"
"M3000","Grand Rapids-Muskegon-Holland, Mi MSA"
"M3040","Great Falls, Mt MSA"
"M3060","Greeley, Co PMSA"
"M3080","Green Bay, Wi MSA"
"M3120","Greensboro--Winston-Salem--High Point, NC MSA"
"M3150","Greenville, NC MSA"
"M3160","Greenville-Spartanburg, SC MSA"
"M3180","Hagerstown, Md PMSA"
"M3200","Hamilton-Middletown, Oh PMSA"
"M3240","Harrisburg-Lebanon-Carlisle, Pa MSA"
"M3283","Hartford, Ct NECMA"
"M3285","Hattiesburg, Ms MSA"
"M3290","Hickory-Morganton, NC MSA"
