zip_cde,eps_cde
00501,NY20
00544,NY20
00601,US 7
00602,US 7
00603,US 7
00604,US 7
00605,US 7
00606,US 7
00610,US 7
00611,US 7
00612,US 7
00613,US 7
00614,US 7
00616,US 7
00617,US 7
00622,US 7
00623,US 7
00624,US 7
00627,US 7
00631,US 7
00636,US 7
00637,US 7
00638,US 7
00641,US 7
00646,US 7
00647,US 7
00650,US 7
00652,US 7
00653,US 7
00656,US 7
00659,US 7
00660,US 7
00662,US 7
00664,US 7
00667,US 7
00669,US 7
00670,US 7
00674,US 7
00676,US 7
00677,US 7
00678,US 7
00680,US 7
00681,US 7
00682,US 7
00683,US 7
00685,US 7
00687,US 7
00688,US 7
00690,US 7
00692,US 7
00693,US 7
00694,US 7
00698,US 7
00703,US 7
00704,US 7
00705,US 7
00707,US 7
00714,US 7
00715,US 7
00716,US 7
00717,US 7
00718,US 7
00719,US 7
00720,US 7
00721,US 7
00723,US 7
00725,US 7
00726,US 7
00727,US 7
00728,US 7
00729,US 7
00730,US 7
00731,US 7
00732,US 7
00733,US 7
00734,US 7
00735,US 7
00736,US 7
00737,US 7
00738,US 7
00739,US 7
00740,US 7
00741,US 7
00742,US 7
00744,US 7
00745,US 7
00751,US 7
00754,US 7
00757,US 7
00765,US 7
00766,US 7
00767,US 7
00769,US 7
00771,US 7
00772,US 7
00773,US 7
00775,US 7
00777,US 7
00778,US 7
00780,US 7
00782,US 7
00783,US 7
00784,US 7
00785,US 7
00786,US 7
00791,US 7
00792,US 7
00794,US 7
00795,US 7
00901,US 7
00902,US 7
00906,US 7
00907,US 7
00908,US 7
00909,US 7
00910,US 7
00911,US 7
00912,US 7
00913,US 7
00914,US 7
00915,US 7
00916,US 7
00917,US 7
00918,US 7
00919,US 7
00920,US 7
00921,US 7
00922,US 7
00923,US 7
00924,US 7
00925,US 7
00926,US 7
00927,US 7
00928,US 7
00929,US 7
00930,US 7
00931,US 7
00933,US 7
00934,US 7
00935,US 7
00936,US 7
00937,US 7
00939,US 7
00940,US 7
00949,US 7
00950,US 7
00951,US 7
00952,US 7
00953,US 7
00954,US 7
00955,US 7
00956,US 7
00957,US 7
00958,US 7
00959,US 7
00960,US 7
00961,US 7
00962,US 7
00963,US 7
00965,US 7
00966,US 7
00968,US 7
00969,US 7
00970,US 7
00971,US 7
00975,US 7
00976,US 7
00977,US 7
00978,US 7
00979,US 7
00981,US 7
00982,US 7
00983,US 7
00984,US 7
00985,US 7
00986,US 7
00987,US 7
00988,US 7
01001,MA 2
01002,MA 2
01003,MA 2
01004,MA 2
01005,MA 3
01007,MA 2
01008,MA 2
01009,MA 2
01010,MA 2
01011,MA 2
01012,MA 1
01013,MA 2
01014,MA 2
01020,MA 2
01021,MA 2
01022,MA 2
01026,MA 1
01027,MA 2
01028,MA 2
01029,MA 1
01030,MA 2
01031,MA11
01032,MA 1
01033,MA 2
01034,MA 2
01035,MA 2
01036,MA 2
01037,MA11
01038,MA 2
01039,MA 2
01040,MA 2
01041,MA 2
